,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
120,San Quintin,MX,30.4833,-115.95,75.87,68,8,17.11,clear sky
121,Nuuk,GL,64.1835,-51.7216,52.41,71,100,8.05,overcast clouds
122,Odesskoye,RU,54.2111,72.9651,65.88,42,100,12.46,overcast clouds
123,Lebu,CL,-37.6167,-73.65,50.54,95,100,9.93,overcast clouds
124,Mahebourg,MU,-20.4081,57.7,68.25,63,78,18.01,broken clouds
125,Anadyr,RU,64.75,177.4833,42.01,75,100,8.01,overcast clouds
126,Saint-Francois,FR,46.4154,3.9054,67.44,80,90,3.44,overcast clouds
127,Mount Isa,AU,-20.7333,139.5,51.57,58,6,1.14,clear sky
128,Bayji,IQ,34.9311,43.487,99.14,16,0,6.8,clear sky
129,Saint George,US,37.1041,-113.5841,95.63,34,1,1.99,clear sky
130,Kapaa,US,22.0752,-159.319,86.32,68,90,3.0,light rain
131,Veraval,IN,20.9,70.3667,81.32,86,100,20.76,overcast clouds
132,Griffith,US,41.5284,-87.4237,74.08,67,40,5.01,scattered clouds
133,Kavieng,PG,-2.5744,150.7967,81.39,79,56,7.49,light rain
134,Nikolskoye,RU,59.7035,30.7861,64.02,67,12,8.05,few clouds
135,Ostrovnoy,RU,68.0531,39.5131,44.44,91,99,8.46,overcast clouds
136,Santa Ines,BR,-3.6667,-45.38,76.48,90,97,6.02,moderate rain
137,Bilma,NE,18.6853,12.9164,97.79,23,3,9.31,clear sky
138,Vila,PT,42.0304,-8.1588,57.7,75,93,4.63,overcast clouds
139,Phan Thiet,VN,10.9333,108.1,76.46,94,90,11.01,overcast clouds
140,Tuktoyaktuk,CA,69.4541,-133.0374,55.85,79,99,14.0,overcast clouds
141,Dolores,AR,-36.3132,-57.6792,49.66,51,0,9.51,clear sky
142,Mar Del Plata,AR,-38.0023,-57.5575,57.13,49,0,1.01,clear sky
143,Beloha,MG,-25.1667,45.05,64.83,85,0,4.03,clear sky
144,Holoby,UA,51.0865,25.0077,69.06,65,33,3.29,scattered clouds
145,Mataura,NZ,-46.1927,168.8643,48.47,99,100,1.68,moderate rain
146,Ceres,US,37.5949,-120.9577,107.8,22,1,9.22,clear sky
147,Buraydah,SA,26.326,43.975,89.73,12,48,8.97,scattered clouds
148,Jining,CN,35.405,116.5814,73.69,97,0,5.21,clear sky
149,Kulhudhuffushi,MV,6.6221,73.07,81.91,77,62,10.27,broken clouds
150,Tigil,RU,57.8,158.6667,50.65,66,83,10.13,broken clouds
151,Kharp,RU,66.8014,65.8081,46.49,95,89,7.16,overcast clouds
152,Arraial Do Cabo,BR,-22.9661,-42.0278,62.46,59,0,14.97,clear sky
153,West Wendover,US,40.7391,-114.0733,85.21,37,1,8.05,clear sky
154,Pochutla,MX,15.7432,-96.4661,90.82,54,82,8.03,broken clouds
155,Cozumel,MX,20.5083,-86.9458,89.11,77,75,7.0,broken clouds
156,Hithadhoo,MV,-0.6,73.0833,81.52,75,90,5.46,overcast clouds
157,Nanortalik,GL,60.1432,-45.2371,46.11,79,100,12.39,light rain
158,Mangai,CD,-4.05,19.5333,77.47,33,26,1.14,scattered clouds
159,Provideniya,RU,64.3833,-173.3,47.32,93,100,6.76,light rain
160,Shouguang,CN,36.88,118.7375,70.56,94,1,6.02,clear sky
161,Tenali,IN,16.2425,80.6398,84.78,63,100,11.03,overcast clouds
162,Caravelas,BR,-17.7125,-39.2481,68.02,74,100,11.56,overcast clouds
163,Kendrapara,IN,20.5042,86.416,82.29,77,100,11.03,overcast clouds
164,Samarai,PG,-10.6167,150.6667,79.77,76,97,19.37,overcast clouds
165,Tarogong,ID,-7.1902,107.8874,68.67,97,78,3.53,broken clouds
166,Lamu,KE,-2.2717,40.902,75.42,79,100,16.96,overcast clouds
167,Isiro,CD,2.7739,27.616,66.49,97,100,1.21,overcast clouds
168,Erzin,TR,36.9559,36.2,81.32,71,0,1.21,clear sky
169,Carnarvon,AU,-24.8667,113.6333,63.36,63,76,22.7,broken clouds
170,Xiaoweizhai,CN,26.1903,107.5125,72.12,92,42,1.63,scattered clouds
171,Thompson,CA,55.7435,-97.8558,78.01,26,25,14.81,scattered clouds
172,Edd,ER,13.9297,41.6925,89.82,62,99,2.13,overcast clouds
173,Awbari,LY,26.5921,12.7805,87.37,16,0,6.82,clear sky
174,Kupang,ID,-10.1667,123.5833,74.44,87,34,6.73,scattered clouds
175,Filingue,NE,14.3521,3.3168,86.47,54,81,15.3,broken clouds
176,Japura,ID,-0.3167,102.35,78.49,77,99,2.55,overcast clouds
177,Darab,IR,28.7519,54.5444,88.2,36,75,3.4,broken clouds
178,Aklavik,CA,68.2191,-135.0107,73.6,42,81,15.64,broken clouds
179,Verkhovazhye,RU,60.7472,42.0465,60.62,84,92,2.82,overcast clouds
180,Cercal,PT,37.806,-8.6715,62.74,79,0,11.27,clear sky
181,Mehamn,NO,71.0357,27.8492,49.95,81,75,2.3,broken clouds
182,Akyab,MM,20.15,92.9,80.73,87,96,11.7,overcast clouds
183,Haines Junction,CA,60.7522,-137.5108,72.09,30,0,7.81,clear sky
184,Kjollefjord,NO,70.9457,27.3465,49.82,81,75,2.3,broken clouds
185,Faanui,PF,-16.4833,-151.75,78.31,70,100,16.64,overcast clouds
186,Atasu,KZ,48.6814,71.6433,64.94,37,3,3.47,clear sky
187,Belmonte,BR,-15.8631,-38.8828,68.5,82,100,16.44,overcast clouds
188,Vanavara,RU,60.34,102.2797,56.98,50,11,3.06,few clouds
189,Vao,NC,-22.6667,167.4833,67.53,57,1,24.07,clear sky
190,Leningradskiy,RU,69.3833,178.4167,33.24,98,100,20.47,light snow
191,Bonthe,SL,7.5264,-12.505,76.46,87,99,8.1,moderate rain
192,Verkhoyansk,RU,67.5447,133.385,65.25,38,58,3.0,broken clouds
193,Cherskiy,RU,68.75,161.3,35.51,79,100,3.44,overcast clouds
194,Banda Aceh,ID,5.5577,95.3222,79.07,80,97,15.52,overcast clouds
195,Ixtapa,MX,20.7,-105.2,87.03,74,90,10.36,overcast clouds
