City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
170,Xiaoweizhai,CN,72.12,scattered clouds,26.1903,107.5125,Karst Youth Hostel
171,Thompson,CA,78.01,scattered clouds,55.7435,-97.8558,Burntwood Hotel
172,Edd,ER,89.82,overcast clouds,13.9297,41.6925,
173,Awbari,LY,87.37,clear sky,26.5921,12.7805,فندق أوباري
174,Kupang,ID,74.44,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
175,Filingue,NE,86.47,broken clouds,14.3521,3.3168,
176,Japura,ID,78.49,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
177,Darab,IR,88.2,broken clouds,28.7519,54.5444,Naghshe shapoor Hotel
178,Aklavik,CA,73.6,broken clouds,68.2191,-135.0107,Aklavik Inn
182,Akyab,MM,80.73,overcast clouds,20.15,92.9,Hotel Memory
183,Haines Junction,CA,72.09,clear sky,60.7522,-137.5108,Parkside Inn
185,Faanui,PF,78.31,overcast clouds,-16.4833,-151.75,InterContinental Bora Bora Resort Thalasso Spa
191,Bonthe,SL,76.46,moderate rain,7.5264,-12.505,Bonthe Holiday Village
194,Banda Aceh,ID,79.07,overcast clouds,5.5577,95.3222,Sulthan Hotel International
195,Ixtapa,MX,87.03,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
196,Kavaratti,IN,82.38,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
197,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
198,Islampur,IN,78.35,overcast clouds,26.2667,88.2,Circuit House
202,La Ronge,CA,73.35,broken clouds,55.1001,-105.2842,Northland Motor Hotel
203,Coahuayana,MX,87.28,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
212,Kloulklubed,PW,84.42,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
214,Boyolangu,ID,73.89,broken clouds,-8.1181,111.8935,Hotel Istana
216,Sukumo,JP,74.82,overcast clouds,32.9333,132.7333,初福荘
217,Fort Nelson,CA,83.46,clear sky,58.8053,-122.7002,The Fort Nelson Hotel
219,High Level,CA,81.45,overcast clouds,58.5169,-117.136,Days Inn by Wyndham High Level
220,El Sauce,NI,91.65,scattered clouds,12.8869,-86.539,Hotel Blanco
221,Lazaro Cardenas,MX,86.18,broken clouds,17.9583,-102.2,quinta antigua
224,Luorong,CN,79.47,light rain,24.4058,109.6086,荣立大酒店
225,Norman Wells,CA,80.98,scattered clouds,65.282,-126.8329,Heritage Hotel
227,Shiyan,CN,76.01,clear sky,32.6475,110.7781,Fenghuang Garden Holiday Hotel
229,Yumen,CN,77.79,clear sky,40.2833,97.2,
230,Mayo,US,92.01,clear sky,38.8876,-76.5119,South County Deale Moose Lodge
231,Talara,PE,74.16,clear sky,-4.5772,-81.2719,Las Dunas de Vichayito
232,Mwene-Ditu,CD,72.55,clear sky,-7.0,23.45,Hôtel Kamas
234,Aksu,CN,79.63,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
236,Terney,RU,71.74,overcast clouds,45.0503,136.6092,"Hotel ""Ternay"""
237,Benguela,AO,70.43,clear sky,-12.5763,13.4055,Hotel Praia Morena
239,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
242,Sur,OM,91.13,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
243,Ormara,PK,81.46,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
245,Lewiston,US,72.79,broken clouds,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
249,Manta,EC,77.49,overcast clouds,-0.95,-80.7333,Balandra Hotel
250,Astoria,US,93.97,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
252,Naze,JP,76.87,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
253,Gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
254,Abu Samrah,SY,80.91,clear sky,35.3029,37.1841,
256,Anse-Bertrand,GP,80.42,clear sky,16.4721,-61.5078,Locations Plus
258,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
259,Nhulunbuy,AU,72.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
260,Uruzgan,AF,74.5,clear sky,32.8333,66.0,
261,Nantucket,US,80.94,clear sky,41.2835,-70.0995,Jared Coffin House
262,Bethel,US,81.18,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
268,Fare,PF,78.44,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
271,Gondanglegi,ID,74.62,clear sky,-7.7479,112.0132,Lotus Garden Hotel
272,Tessalit,ML,91.22,scattered clouds,20.1986,1.0114,
273,Loa Janan,ID,74.16,overcast clouds,-0.583,117.095,bgr express samarinda
275,Doha,QA,93.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
277,Port Maria,JM,83.97,scattered clouds,18.3685,-76.8895,GoldenEye
278,Santa Maria Da Vitoria,BR,82.87,broken clouds,-13.3947,-44.1886,Pousada Rio Current
279,Bossangoa,CF,71.19,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
280,Puente Grande,MX,81.91,broken clouds,20.5667,-103.15,Quinta Bonita
282,Cabo Rojo,PR,88.97,scattered clouds,18.0866,-67.1457,Hotel Perichi's
285,Nilagiri,IN,77.11,overcast clouds,21.4582,86.7722,Guru Shakti
286,Isangel,VU,71.51,overcast clouds,-19.55,169.2667,Tanna Lodge
287,Lahij,YE,81.97,overcast clouds,13.1667,44.5833,
289,Touros,BR,79.7,broken clouds,-5.1989,-35.4608,Casa Palma Azul de praia com piscina
292,Muli,MV,82.09,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
